,Content
0," “I say what I want to say and do what I want to do. There’s no in-between. People will either love you for it or hate you for it.” – Eminem Eminem has attained a position of eminence in American culture. He has broken preconceived notions and tread new ground. Love him or hate him, he’s a person committed to accomplishing his dream, defying odds in the process. The American rapper and songwriter is known as the King of Hip-Hop, a title he earned with tracks like Stan, Lose Yourself, Mockingbird, The Real Slim Shady, and Cleanin’ Out My Closet. So who is the real Slim Shady? Please stand up. Here are a few things you might know about the man Rolling Stone magazine crowned as the King of Hip-Hop.  54. Split Personality Eminem says that his different names represent different personas. “Slim Shady” is the name for his temper, “Eminem” is just the rapper, and “Marshall Mathers” is who he is at the end of the day. Well, Marshall, we love all of your personas.  53. The Inn Crowd Before their separation, Eminem’s parents were in a band called Daddy Warbucks, playing in Ramada Inns along the Dakotas-Montana border. This may not be quite as glamorous as Marshall’s career, but it looks like musical talent runs in the family…   "
1, 52. So What Cha Want? Marshall was inspired to rap after he discovered The Beastie Boys’ 1986 classic License to Ill. Which essentially gave Marshall the license to make some of the illest music of all time.  
2," 51. It’s a boy Eminem was born when his mom, Deborah R. Nelson-Mathers, was just 17-year old. She nearly died during her 73-hour labor.   "
3," 50. Home is Where the Heart Is When Eminem was 15, his mother allowed runaway Kimberly Ann “Kim” Scott to stay their home and, several years later, Eminem began and on-again off-again relationship with Scott.  "
4, 49. Me Fail English? That’s Unpossible! Eminem failed the ninth grade three times before he finally dropped out and became a rapper.  We wouldn’t recommend this career path but it seems to have worked out pretty well for Em.  
5, 48. Mommy Dearest Eminem was sued by his own mother for defamation after he included the line ‘My mother does more dope than I do’ in his single “My Name Is.” It is unclear whether her objection was to the insinuation that she smoked dope or the inaccuracy of the quantities of dope smoked.   
6," 47. Lunch Raps Eminem and his childhood friend and fellow rapper, Proof, would sneak into the nearby high school in order to compete in lunchroom freestyle rap battles.  "
7," 46. Corresponding Sounds When Eminem wrote verses, he wanted most of the words to rhyme so he wrote long words or phrases on paper and, underneath, worked on rhymes for each syllable. While the words often made little sense, it was this exercise that helped him practice sounds and rhymes.  "
8," 45. Best of the best In a study that looked at 93 top artists over 25 genres of music, it was discovered that Eminem had the widest vocabulary, coming in at 8,818 unique words (versus Jay-Z with 6,899 and Bob Dylan with 4,883).  "
9, 44. Short List The only non-comic book that Eminem has read in its entirety is LL Cool J’s “I Make My Own Rules.”  
